,Title,Occupation,Company,Company Location,Specs,Link
544,Senior Network & Security Engineer,"['Full Time', 'On-site']",Universities of Canada in Egypt ,"New Capital, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · CCNP · Cisco · Computer Engineering · Computer Science · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/jAhb2ssBeRdJ-Senior-Network-Security-Engineer-Universities-of-Canada-in-Egypt-Cairo-Egypt
545,Junior Business Developer,"['Full Time', 'On-site']",Gulf Data International  ,"Heliopolis, Cairo, Egypt ",Experienced · 1 - 2 Yrs of Exp · Business Development · Human Resources · Sales/Retail · Negotiation · negotiation skills · reports · sales skills · Sales · Sales Target · Business Development,https://wuzzuf.net/jobs/p/nWlb7e1Mxsjn-Junior-Business-Developer-Gulf-Data-International-Cairo-Egypt
546,Human Resource Administrator,"['Full Time', 'On-site']",KB's Cake Studio ,"6th of October, Giza, Egypt ",Experienced · 6 - 6 Yrs of Exp · Human Resources · Human Resources (HR) · HR · Human Resources,https://wuzzuf.net/jobs/p/mgIBgUu7fOjT-Human-Resource-Administrator-KBs-Cake-Studio-Giza-Egypt
547,Surveyor,"['Full Time', 'On-site']",Sharm Dreams Group ,"Giza, Egypt ",Experienced · 3+ Yrs of Exp · Engineering - Other · Construction · Engineering,https://wuzzuf.net/jobs/p/QrHNJJhFui7Y-Surveyor-Sharm-Dreams-Group-Giza-Egypt
548,CRM Manager,"['Full Time', 'On-site']",JDAR Development  ,"Mohandessin, Giza, Egypt ",Manager · 4 - 9 Yrs of Exp · Customer Service/Support · CRM · Customer Service · analytical · Communication skills · Customer Acquisition,https://wuzzuf.net/jobs/p/2fo8E1il2G0s-CRM-Manager-JDAR-Development-Giza-Egypt
549,Senior Full stack Java developer,"['Full Time', 'On-site']",MTS-IT ,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full Stack · Information Technology (IT) · Software Development · CSS · spring Framework · Java SE,https://wuzzuf.net/jobs/p/Q4zr4d5FqcUo-Senior-Full-stack-Java-developer-MTS-IT-Cairo-Egypt
550,Business Development Manager,"['Full Time', 'On-site']",Sprints.ai ,"Maadi, Cairo, Egypt ",Manager · 8 - 10 Yrs of Exp · Business Development · Engineering - Telecom/Technology · Education/Teaching · Business Development · Communication · sales skills · education techenelogy,https://wuzzuf.net/jobs/p/mZFdfUFRTRpE-Business-Development-Manager-Sprints-ai-Cairo-Egypt
551,Mechanical Maintenance Engineer (Minya),"['Full Time', 'On-site']",Asfour Crystal ,"Minya, Egypt ",Experienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Maintenance · Mechatronics · troubleshoot · Production · Mechatronics Engineering · English,https://wuzzuf.net/jobs/p/ylpA9bDKjmrG-Mechanical-Maintenance-Engineer-Minya-Asfour-Crystal-Minya-Egypt
552,Mechanical Cost Engineer,"['Full Time', 'On-site']",SHM Industries ,"Obour City, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Cost · Cost Estimation · Mechanical · Mechanical Engineering · Estimation · Steel · Maintenance · Management,https://wuzzuf.net/jobs/p/Ox6ew0lfNUq4-Mechanical-Cost-Engineer-SHM-Industries-Cairo-Egypt
553,Application Support Specialist,"['Full Time', 'On-site']",Al Ahly Medical Company ,"Giza, Giza, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · computer · Customer Service · Customer Support · Customer Care · business · Information Technology (IT) · ITIL,https://wuzzuf.net/jobs/p/SUdjgZ7b2sFz-Application-Support-Specialist-Al-Ahly-Medical-Company-Giza-Egypt
554,Design Architectural Engineer,"['Full Time', 'On-site']",شركة بديع ,"Giza, Egypt ",Experienced · 4 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Architecture · Engineering · MVC · Java · Computer Science · Software Development · Design Patterns · SQL · Software,https://wuzzuf.net/jobs/p/HzMMXJhlDmwX-Design-Architectural-Engineer-شركة-بديع-Giza-Egypt
555,Social Researcher,"['Full Time', 'On-site']",Bayt El Khebra ,"Downtown, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · males_only · Analyst/Research · Data · Research · search · Writing Skills,https://wuzzuf.net/jobs/p/mGnkswlSLLvt-Social-Researcher-Bayt-El-Khebra-Cairo-Egypt
556,Sales Account Manager,"['Full Time', 'On-site']",Target Integrated Systems ,"Maadi, Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · Business Development · Sales/Retail · CRM · account manager · Sales · Sales Target · sales skills · Software · business · Communication,https://wuzzuf.net/jobs/p/4mZlbZkXBFoL-Sales-Account-Manager-Target-Integrated-Systems-Cairo-Egypt
557,Financial Manager,"['Full Time', 'On-site']",SAH Company  ,"New Nozha, Cairo, Egypt ",Manager · 8 - 10 Yrs of Exp · females_preferred · Accounting/Finance · Operations/Management · Finance · Accounting · Management,https://wuzzuf.net/jobs/p/ltGQnPt0Uuzn-Financial-Manager-SAH-Company-Cairo-Egypt
558,Operations Specialist,"['Full Time', 'On-site']",Fawry for Banking Technology and Electronic Payments S.A.E ,"6th of October, Giza, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Operations/Management · Communication · Administration,https://wuzzuf.net/jobs/p/iSMbZCx6xOSy-Operations-Specialist-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt
559,Cost Accountant,"['Full Time', 'On-site']",Jazeera Paints ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Accounting Software · Finance · Financial · ERP · SAP,https://wuzzuf.net/jobs/p/hdH38bGFznpq-Cost-Accountant-Jazeera-Paints-Sharqia-Egypt
560,GIS Specialists,"['Full Time', 'On-site']",United ATS ,"Obour City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Geographic Information System · Information Technology (IT) · GIS,https://wuzzuf.net/jobs/p/Ak79NKvrJuRp-GIS-Specialists-United-ATS-Cairo-Egypt
561,Planning Manager.,"['Full Time', 'On-site']",International Group For Modern Coating  ,"Bourj Alarab, Alexandria, Egypt ",Manager · 10 - 15 Yrs of Exp · males_only · Operations/Management · Manufacturing/Production · Planning · Supply Chain · Inventory Management · Raw Materials · Chemistry · Leadership,https://wuzzuf.net/jobs/p/AoKg8854hd1V-Planning-Manager-International-Group-For-Modern-Coating-Alexandria-Egypt
562,Senior Pricing & Procurement Specialist,"['Full Time', 'On-site']",dynamics ,"New Cairo, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · Manufacturing/Production · Marketing/PR/Advertising · Purchasing/Procurement · Negotiation · Procurement · Purchasing · Communication · Pricing · Detail Oriented,https://wuzzuf.net/jobs/p/oKOPtVvAQqZE-Senior-Pricing-Procurement-Specialist-dynamics-Cairo-Egypt
563,SAP RE Consultant,"['Full Time', 'On-site']",Better Home ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Customer Service/Support · IT/Software Development · Sales/Retail · SAP · Engineering,https://wuzzuf.net/jobs/p/L6XpQRIa4eTZ-SAP-RE-Consultant-Better-Home-Cairo-Egypt
564,Finance & Administration Manager,"['Full Time', 'On-site']",International Committee of Red Cross ,"Cairo, Egypt ",Manager · 15 - 15 Yrs of Exp · Accounting/Finance · Administration · Operations/Management · Accounting · Finance · Financial · Management · Administration,https://wuzzuf.net/jobs/p/al7FEMgDuXGJ-Finance-Administration-Manager-International-Committee-of-Red-Cross-Cairo-Egypt
565,Sr. Leisure Product Development and Operations Specialist,"['Full Time', 'On-site']",Air Arabia ,"Mohandessin, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Sports and Leisure · Tourism/Travel · Sales · Sales Operations · travel operations · Travel · Tourism · Business Development · Leisure,https://wuzzuf.net/jobs/p/Oh4hO5XSYVDK-Sr-Leisure-Product-Development-and-Operations-Specialist-Air-Arabia-Giza-Egypt
566,Purchasing Specialist (Bakery & Pastry),"['Full Time', 'On-site']",Bakeland Egypt  ,"10th of Ramadan City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · males_only · Logistics/Supply Chain · Manufacturing/Production · Purchasing/Procurement · Procurement · Purchasing · Logistics · supply chain management · Supply Chain,https://wuzzuf.net/jobs/p/KvAyKbvnh35I-Purchasing-Specialist-Bakery-Pastry-Bakeland-Egypt-Cairo-Egypt
567,Sales Account Manager,"['Full Time', 'Remote']",Confidential ,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Business Development · Sales/Retail · Client Relationship · Sales · Market Research · Business Development · sales skills · Customer Service · English · Sales Target,https://wuzzuf.net/jobs/p/UDbnk96EIw9L-Sales-Account-Manager-Cairo-Egypt
568,Export Manager – Grains & Agricultural Crops’ End Products and Foodstuff,"['Full Time', 'On-site']",Venus International Free Zone   ,"6th of October, Giza, Egypt ",Manager · 5 - 13 Yrs of Exp · males_only · Other · export · grains · Market Research · customs · liase · Financial Management · Quality Management,https://wuzzuf.net/jobs/p/H3OhQFEdixpb-Export-Manager-–-Grains-Agricultural-Crops’-End-Products-and-Foodstuff-Venus-International-Free-Zone-Giza-Egypt
569,Planning Specialist - Experienced In GOLD Manufacturing Field,"['Full Time', 'On-site']",Selema Gold ,"Bab Alshareya, Cairo, Egypt ",Manager · 7 - 15 Yrs of Exp · Manufacturing/Production · Manufacturing · Management · Planning · Production · Supply Chain · supply chain management · gold,https://wuzzuf.net/jobs/p/QI8uAbfE91s1-Planning-Specialist---Experienced-In-GOLD-Manufacturing-Field-Selema-Gold-Cairo-Egypt
570,Marketing Specialist,"['Full Time', 'On-site']",Kandil Steel ,"Obour City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Market Research · Research · Marketing,https://wuzzuf.net/jobs/p/aiJFNI0mROsu-Marketing-Specialist-Kandil-Steel-Cairo-Egypt
571,Sales & Marketing Executive,"['Full Time', 'On-site']",Confidential ,"Khobar, Saudi Arabia ",Experienced · 5 - 10 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Business Administration · Management · Market Research · Sales · sales skills · Sales Target · Marketing · Communication,https://wuzzuf.net/jobs/p/bWYSdRkraCj9-Sales-Marketing-Executive-Khobar-Saudi-Arabia
572,Mechanical Estimator & Draftsman,"['Full Time', 'On-site']",voltflux electromechanical works ,"Dubai, United Arab Emirates ",Experienced · 6+ Yrs of Exp · Engineering - Mechanical/Electrical · AutoCAD · Draftsman · HVAC · Mechanical · Mechanical Engineering · Revit · Plumbing · Fire Fighting · CAD,https://wuzzuf.net/jobs/p/LN3VPTwUnjVm-Mechanical-Estimator-Draftsman-voltflux-electromechanical-works-Dubai-United-Arab-Emirates
573,financial Operation,"['Full Time', 'On-site']",Confidential ,"6th of October, Giza, Egypt ",Experienced · 4 - 6 Yrs of Exp · Accounting/Finance · Accounting · Accounting principles · Financial · Accounting Software · Financial Statements · Finance,https://wuzzuf.net/jobs/p/xiThMyKzSPAb-financial-Operation-Giza-Egypt
574,Senior Technical Sales Engineer,"['Full Time', 'On-site']",Asfour Crystal ,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Mechanical/Electrical · Communication · Sales Target · Engineering · Customer Service · Business Administration,https://wuzzuf.net/jobs/p/Fj9JFO8xz2mN-Senior-Technical-Sales-Engineer-Asfour-Crystal-Cairo-Egypt
575,Planning Engineer,"['Full Time', 'Hybrid']",Protection ,"Kafr Aldawar, Beheira, Egypt ",Entry Level · 2 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other · Planning · Civil · Primavera · Project Management · Construction · Engineering · Management,https://wuzzuf.net/jobs/p/npkOS4Te4oox-Planning-Engineer-Protection-Beheira-Egypt
576,Network Security Engineer,"['Full Time', 'On-site']",Confidential ,"Giza, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · TCP/IP · DNS · DHCP · BGP · Network Security · Networking · VPN,https://wuzzuf.net/jobs/p/Fsf3Jbxi6ViI-Network-Security-Engineer-Giza-Egypt
577,Demand Planner,"['Full Time', 'On-site']",Sphinx Glass ,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Engineering - Other · Engineering · Inventory Management · SAP · demand · inventory · Logistics · Supply Chain,https://wuzzuf.net/jobs/p/rMIZa2H0rFPn-Demand-Planner-Sphinx-Glass-Cairo-Egypt
578,Cost Accountant,"['Full Time', 'On-site']",Cilantro ,"Maadi, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Cost Accounting · Accounting,https://wuzzuf.net/jobs/p/il0Rd5UWoehg-Cost-Accountant-Cilantro-Cairo-Egypt
579,Export Sales Officer,"['Full Time', 'On-site']",makaremtex ,"Abu Rawash, Giza, Egypt ",Experienced · 1 - 5 Yrs of Exp · Logistics/Supply Chain · Export Sales · Export · Sales,https://wuzzuf.net/jobs/p/VFkY5RAmPO39-Export-Sales-Officer-makaremtex-Giza-Egypt
580,Digital marketing specialist,"['Full Time', 'On-site']",Some Skin Care  ,"New Cairo, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · females_only · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Creative · Communication · Google Ads,https://wuzzuf.net/jobs/p/Kox3cXonFAQ0-Digital-marketing-specialist-Some-Skin-Care-Cairo-Egypt
581,Phone Appointment Setter,"['Full Time', 'Remote']",Generate Listings ,"Brisbane, Australia ",Experienced · 2+ Yrs of Exp · Customer Service/Support · appointment setter · sales development · business development · sales · call centre · call center,https://wuzzuf.net/jobs/p/QKvN7hlwIRHV-Phone-Appointment-Setter-Generate-Listings-Brisbane-Australia
582,Sr.Technical Support Engineer,"['Full Time', 'On-site']",Midea Group ,"6th of October, Giza, Egypt ",Experienced · 4 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · IT · Hardware · Maintenance · Technical Support,https://wuzzuf.net/jobs/p/tUHIFtCvRO4x-SrTechnical-Support-Engineer-Midea-Group-Giza-Egypt
583,HSE Specialist,"['Full Time', 'On-site']",Confidential ,"6th of October, Giza, Egypt ",Experienced · 3 - 6 Yrs of Exp · Manufacturing/Production · Engineering - Telecom/Technology · Engineering - Other · Health · Health and Safety · HSE · Communication skills · Safety · OSHA · Nebosh,https://wuzzuf.net/jobs/p/9CIp8tBcYu8f-HSE-Specialist-Giza-Egypt
584,Artificial Intelligence( AI )Business Development,"['Full Time', 'Freelance / Project', 'Volunteering', 'Remote']",Confidential ,"Riyadh, Saudi Arabia ",Experienced · 2 - 4 Yrs of Exp · males_only · Analyst/Research · Strategy/Consulting · Engineering - Telecom/Technology · Business Development · Planning · AI · Artificial Intelligence · Information Technology (IT),https://wuzzuf.net/jobs/p/lU6B0g2X9LbC-Artificial-Intelligence-AI-Business-Development-Riyadh-Saudi-Arabia
585,Procurement Associate Manager/Manager,"['Full Time', 'On-site']",Elsewedy industries ,"Cairo, Egypt ",Manager · 8+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Logistics/Supply Chain · Purchasing/Procurement · Procurement · Construction · Heavy Equipment · Ready Mix Concrete · Spare Parts,https://wuzzuf.net/jobs/p/PAQ4Mr4sT5yn-Procurement-Associate-ManagerManager-Elsewedy-industries-Cairo-Egypt
586,Project Quality Control lead,"['Full Time', 'On-site']",National Electricity Technology Co. ,"Cairo, Egypt ",Experienced · 8 - 10 Yrs of Exp · males_only · Quality · Engineering - Mechanical/Electrical · Engineering - Oil & Gas/Energy · Electrical Engineering · Engineering · ISO · PMP · Quality Assurance · quality · Quality Control,https://wuzzuf.net/jobs/p/YNcn6D3BQpNB-Project-Quality-Control-lead-National-Electricity-Technology-Co-Cairo-Egypt
587,cost estimation Engineer,"['Full Time', 'On-site']",Delta Egypt For Lighting  ,"Obour City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Mechanical · Engineering · Electrical · Manufacturing Industry,https://wuzzuf.net/jobs/p/WlRazxskZeQM-cost-estimation-Engineer-Delta-Egypt-For-Lighting-Cairo-Egypt
588,Customer Service Manager,"['Full Time', 'On-site']",Kitchino ,"Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · males_only · Customer Service/Support · Administration · Communication skills · Customer Support · Leadership · Customer Care · Customer,https://wuzzuf.net/jobs/p/uoroXBjGSW4w-Customer-Service-Manager-Kitchino-Cairo-Egypt
589,Senior Digital Marketing and PR Specialist,"['Full Time', 'On-site']", Circle K ,"Sheraton, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · E-Marketing · communications,https://wuzzuf.net/jobs/p/UeiMMetkl2hb-Senior-Digital-Marketing-and-PR-Specialist-Circle-K-Cairo-Egypt
590,HR Admin,"['Full Time', 'On-site']",Deutschland Technology Limited ,"Obour City, Cairo, Egypt ",Experienced · 1 - 2 Yrs of Exp · Human Resources · HR · Communication skills · Communication · Administration,https://wuzzuf.net/jobs/p/IkplDn3jVaNP-HR-Admin-Deutschland-Technology-Limited-Cairo-Egypt
591,Senior Sales Leader (Hybrid),"['Full Time', 'Hybrid']",Quanvex ,"Downtown, Cairo, Egypt ",Manager · 8+ Yrs of Exp · Sales/Retail · Sales · sales skills · business · Engineering · Marketing · Operations · Sales Target,https://wuzzuf.net/jobs/p/qf6U6S1D1FMQ-Senior-Sales-Leader-Hybrid-Quanvex-Cairo-Egypt
592,Promoter,"['Full Time', 'On-site']",Bosch ,"Sheraton, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · Customer Service/Support · Sales/Retail · Communication skills · MS Office · Management · Communication · Marketing · Relationship Management · Sales,https://wuzzuf.net/jobs/p/f3tRZQo5LGcz-Promoter-Bosch-Cairo-Egypt
593,Senior MEP Cost Estimate engineer,"['Full Time', 'On-site']",Capital Link Developments ,"New Cairo, Cairo, Egypt ",Experienced · 6 - 8 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Mechanical · Mechanical Engineering · Electrical · AutoCAD · Cost Estimation · Quantity Surveying · Excell · MS Office,https://wuzzuf.net/jobs/p/U0gySWQpoxiL-Senior-MEP-Cost-Estimate-engineer-Capital-Link-Developments-Cairo-Egypt
594,B 2 B Sales Manager,"['Full Time', 'On-site']", Circle K ,"Sheraton, Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · Business Development · Hospitality/Hotels/Food Services · Sales/Retail · B2B · B2B Sales,https://wuzzuf.net/jobs/p/pRNdr76MhM46-B-2-B-Sales-Manager-Circle-K-Cairo-Egypt
595,MEP Engineer Electrical,"['Full Time', 'On-site']",PTC for Contracting and Engineering Services ,"Heliopolis, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · MEP · MEP Projects · Electrical Engineering,https://wuzzuf.net/jobs/p/aWRul2v2H6Ur-MEP-Engineer-Electrical-PTC-for-Contracting-and-Engineering-Services-Cairo-Egypt
596,Food Procurement Officer,"['Full Time', 'On-site']",United ATS ,"Obour City, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · Administration · Logistics/Supply Chain · Purchasing/Procurement · Logistics · Procurement · Purchasing · Supply Chain · Administration · business · Business Administration,https://wuzzuf.net/jobs/p/pFUIYvfMTrKc-Food-Procurement-Officer-United-ATS-Cairo-Egypt
597,SR. Procurement Specialist (Chemical Background),"['Full Time', 'On-site']",Floortec ,"6th of October, Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · males_only · Logistics/Supply Chain · Manufacturing/Production · Purchasing/Procurement · Purchasing · Procurement · Supply Chain · Vendor · Pricing · Logistics · Chemistry,https://wuzzuf.net/jobs/p/s70yQ87UY2Vg-SR-Procurement-Specialist-Chemical-Background-Floortec-Giza-Egypt
598,Office Administrator,"['Full Time', 'On-site']",Paxton LLC ,"Heliopolis, Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · Administration · Microsoft Office · Administration · Communication · Office · Excel · Word · Software · Microsoft · Office Management,https://wuzzuf.net/jobs/p/UguuGjaSQ19E-Office-Administrator-Paxton-LLC-Cairo-Egypt
599,Digital Marketing Executive,"['Full Time', 'On-site']",KIG Konnice ,"Shorouk City, Cairo, Egypt ",Manager · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · E-Marketing · Marketing · Social Media · digital marketing · Communication · Skills,https://wuzzuf.net/jobs/p/Qaz8bSZ2BCeI-Digital-Marketing-Executive-KIG-Konnice-Cairo-Egypt
600,Spanish Quality Analyst,"['Full Time', 'On-site']",Teleperformance - Egypt ,"Katameya, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Quality · Quality Assurance · Spanish · quality · Customer Service,https://wuzzuf.net/jobs/p/UDlRo2WZC8MD-Spanish-Quality-Analyst-Teleperformance---Egypt-Cairo-Egypt
601,Medical Representative - Cairo & Giza,"['Full Time', 'On-site']",SMG Pharmaceutical  ,"Maadi, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Medical/Healthcare · Sales/Retail · Medical · Sales,https://wuzzuf.net/jobs/p/CXnE1EBscvKd-Medical-Representative---Cairo-Giza-SMG-Pharmaceutical-Cairo-Egypt
602,Electrical Site Engineer (infra structure),"['Full Time', 'On-site']",Smart Solutions ,"6th of October, Giza, Egypt ",Senior Management · 4 - 8 Yrs of Exp · Engineering - Mechanical/Electrical · Electrical Engineering · Engineering · Electrical manufacturing · Manufacturing · Electrical,https://wuzzuf.net/jobs/p/hH4A1wzuf3CX-Electrical-Site-Engineer-infra-structure-Smart-Solutions-Giza-Egypt
603,Receivable Accountant,"['Full Time', 'On-site']",Unimix Egypt for Readymix concrete ,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · accountant · Accounts Receivable · Finance,https://wuzzuf.net/jobs/p/FDacmUsWVQak-Receivable-Accountant-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt
604,Quality Analyst - Italian Speaker,"['Full Time', 'On-site']",Teleperformance - Egypt ,"Katameya, Cairo, Egypt ",Experienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · QA · Quality Assurance · Italian · quality · Quality Control,https://wuzzuf.net/jobs/p/7YKtkAkC5AGH-Quality-Analyst---Italian-Speaker-Teleperformance---Egypt-Cairo-Egypt
605,Planning Officer/ Executive,"['Full Time', 'On-site']",Dabur ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Planning · Engineering · FMCG · Supply Chain,https://wuzzuf.net/jobs/p/JK1KSmcyTddA-Planning-Officer-Executive-Dabur-Sharqia-Egypt
606,Quality Analyst - German Speaker,"['Full Time', 'On-site']",Teleperformance - Egypt ,"Katameya, Cairo, Egypt ",Experienced · 1 - 4 Yrs of Exp · Quality · Analyst/Research · QA · Quality Assurance · German · quality · Quality Control · german speaker,https://wuzzuf.net/jobs/p/sJnIqcnto2h4-Quality-Analyst---German-Speaker-Teleperformance---Egypt-Cairo-Egypt
607,French Quality Assurance Analyst,"['Full Time', 'On-site']",Teleperformance - Egypt ,"Katameya, Cairo, Egypt ",Experienced · 1 - 1 Yrs of Exp · Customer Service/Support · Quality · French · Quality Analyst · Customer Service,https://wuzzuf.net/jobs/p/oapw5K3bu37W-French-Quality-Assurance-Analyst-Teleperformance---Egypt-Cairo-Egypt
608,Purchasing Specialist (Cosmetics),"['Full Time', 'On-site']",MINISO LIFE ,"Nasr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Purchasing/Procurement · English · MS Office · negotiation skills · Purchasing · Logistics · Procurement · Negotiation · Supply Chain · Retail,https://wuzzuf.net/jobs/p/n1edc1Jb1EZY-Purchasing-Specialist-Cosmetics-MINISO-LIFE-Cairo-Egypt
609,Purchasing Specialist,"['Full Time', 'On-site']",MINISO LIFE ,"Nasr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Purchasing/Procurement · English · MS Office · negotiation skills · Purchasing · Logistics · Procurement · Negotiation · Supply Chain · Retail,https://wuzzuf.net/jobs/p/ORdmbFSrZFcS-Purchasing-Specialist-MINISO-LIFE-Cairo-Egypt
610,HRIS Specialist,"['Full Time', 'On-site']",Tasaheel Finance  ,"Mohandessin, Giza, Egypt ",Experienced · 2 - 4 Yrs of Exp · Human Resources · IT/Software Development · HR · HRIS,https://wuzzuf.net/jobs/p/jBSqtf43hRcl-HRIS-Specialist-Tasaheel-Finance-Giza-Egypt
611,Workshop Section Head,"['Full Time', 'On-site']",GB Corp ,"Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · Human Resources · Automotive · Mechanical Engineering · Engineering · Management,https://wuzzuf.net/jobs/p/3rIsyEs9WtJg-Workshop-Section-Head-GB-Corp-Giza-Egypt
612,Territory Sales Manager,"['Full Time', 'On-site']",EgyptExpress ,"Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · Business Development · Logistics/Supply Chain · Sales/Retail · OR · Logistics · Sales · Sales Target · Creative · Customer · Customer Service,https://wuzzuf.net/jobs/p/yTyMuy5qynTV-Territory-Sales-Manager-EgyptExpress-Cairo-Egypt
613,Digital Marketing Executive,"['Full Time', 'On-site']",GPS ,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · E-Marketing · E-Learning · Marketing · CRM · Market Research · Social Media,https://wuzzuf.net/jobs/p/aTqya1AUjvms-Digital-Marketing-Executive-GPS-Cairo-Egypt
614,Electrical Maintenance Engineer,"['Full Time', 'On-site']",Shabana Group  ,"Badr City, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical · Electrical manufacturing · Electrical Engineering,https://wuzzuf.net/jobs/p/mJowEXnFINf6-Electrical-Maintenance-Engineer-Shabana-Group-Cairo-Egypt
615,Senior Renewable Energy Engineer,"['Full Time', 'Remote']",Storlytics  ,"Charlotte, United States ",Experienced · 3 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,https://wuzzuf.net/jobs/p/yTAxZORsz6Rx-Senior-Renewable-Energy-Engineer-Storlytics-Charlotte-United-States
616,Technical Office Engineer,"['Full Time', 'On-site']",Nacita ,"Giza, Egypt ",Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other · Engineering · Microsoft Office · PMP · Architecture Engineering,https://wuzzuf.net/jobs/p/FZGj4aalqE8K-Technical-Office-Engineer-Nacita-Giza-Egypt
617,Senior Procurement Officer,"['Full Time', 'On-site']",Zewail City ,"6th of October, Giza, Egypt ",Experienced · 2 - 4 Yrs of Exp · Purchasing/Procurement · Procurement · Purchasing · Communication · English · Microsoft Office,https://wuzzuf.net/jobs/p/WcoNn1xYmVS4-Senior-Procurement-Officer-Zewail-City-Giza-Egypt
618,Creative Strategist (Digital Agency),"['Full Time', 'On-site']",Confidential ,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Creative · Advertising · Strategist,https://wuzzuf.net/jobs/p/pSDLd61Eb6il-Creative-Strategist-Digital-Agency-Cairo-Egypt
